StockCode,TotalRevenue,SalesPrice,AnnualDemand,CumulativePct,ABC_Category,HoldingCost,EOQ
22423,286486.3,12.461070595099184,24899,0.016146050299860472,A,2.492214119019837,1000.0
85123A,252227.81,2.870366229760987,93697,0.03036133007862703,A,0.5740732459521974,4040.0
85099B,170616.68,1.9597589285714285,94983,0.0399770970359831,A,0.39195178571428574,4923.0
23843,168469.6,2.08,80995,0.04947185694456293,A,0.41600000000000004,4412.0
M,152340.57,206.44055007052188,9803,0.05805760260126419,A,41.288110014104376,154.0
84879,127074.17,1.6764025927259631,79913,0.06521936196160016,A,0.33528051854519264,4882.0
POST,126563.04,29.749069640914037,5333,0.07235231460172031,A,5.949813928182808,299.0
47566,103880.23000000001,4.771579443658652,23607,0.07820688921398301,A,0.9543158887317305,1573.0
23166,81416.73000000001,1.2203030303030302,77916,0.0827954458668846,A,0.24406060606060606,5650.0
22086,79594.33,2.91933585313175,29477,0.08728129407590435,A,0.58386717062635,2247.0
79321,72860.14,5.12896875,15735,0.09138761080132847,A,1.02579375,1239.0
22386,68439.19,1.9695785440613027,37711,0.09524476768534598,A,0.39391570881226057,3094.0
21137,67209.44,3.6290647482014387,19629,0.09903261722253312,A,0.7258129496402878,1645.0
48138,64973.98,7.415870550161813,9974,0.10269447871211265,A,1.4831741100323628,820.0
85099F,64601.65,1.9572651222651223,36098,0.10633535609561748,A,0.3914530244530245,3037.0
20685,61829.13,7.420158415841585,9545,0.10981997732524211,A,1.4840316831683171,802.0
82484,60513.09,6.941813953488372,10893,0.11323042799928824,A,1.3883627906976743,886.0
20725,60271.7,1.646019417475728,38314,0.11662727420051358,A,0.3292038834951456,3412.0
21843,59648.09,10.869477668433005,5891,0.1199889744334064,A,2.173895533686601,521.0
22197,59101.69,0.8384881209503239,77971,0.12331988016797996,A,0.1676976241900648,6819.0
84347,57779.17,2.5616638370118845,29498,0.12657625014135807,A,0.5123327674023769,2399.0
22502,55017.6,7.420336134453782,3128,0.12967698109071796,A,1.4840672268907564,459.0
21621,54815.12,8.499455958549223,6542,0.13276630049172558,A,1.6998911917098447,620.0
15056N,54741.46,5.78806598407281,11027,0.1358514684967848,A,1.1576131968145622,976.0
85099C,53168.340000000004,1.9571782841823058,29447,0.13884797720243697,A,0.3914356568364612,2743.0
22189,52627.29,3.874987057808456,18113,0.14181399292983946,A,0.7749974115616913,1529.0
22470,52157.68000000001,2.944329399141631,17866,0.14475354195820148,A,0.5888658798283263,1742.0
21623,51465.619999999995,9.767552986512523,7158,0.14765408725210735,A,1.9535105973025049,605.0
23084,51346.2,2.0139429928741093,27202,0.1505479021671895,A,0.40278859857482185,2599.0
20914,50983.880000000005,2.9275427350427354,18524,0.15342129712870092,A,0.5855085470085472,1779.0
21733,50010.85,2.9161863425925927,17643,0.15623985319800957,A,0.5832372685185185,1739.0
21181,48564.00000000001,2.074286596664608,24513,0.15897686640514172,A,0.4148573193329216,2431.0
21931,48255.8,1.9723626062322945,26239,0.1616965098019115,A,0.39447252124645893,2579.0
